image,caption,caption-ja
1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .,ピンクのドレスを着た子供が、入り口の階段を登っています。
1000268201_693b08cb0e.jpg,A girl going into a wooden building .,木造の建物に入る少女。
1000268201_693b08cb0e.jpg,A little girl climbing into a wooden playhouse .,木製のプレイハウスに登る少女。
1000268201_693b08cb0e.jpg,A little girl climbing the stairs to her playhouse .,階段を登ってプレイハウスに行く少女。
1000268201_693b08cb0e.jpg,A little girl in a pink dress going into a wooden cabin .,ピンクのドレスを着た少女が木の小屋に入る。
1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting,黒い犬と斑点のある犬が戦っている
1001773457_577c3a7d70.jpg,A black dog and a tri-colored dog playing with each other on the road .,道路で遊んでいる黒い犬と三色の犬。
1001773457_577c3a7d70.jpg,A black dog and a white dog with brown spots are staring at each other in the street .,黒い犬と茶色の斑点のある白い犬が通りで見つめ合っている。
1001773457_577c3a7d70.jpg,Two dogs of different breeds looking at each other on the road .,道路でお互いを見ている異なる品種の2匹の犬。
1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .,歩道上の2匹の犬が互いに向かって動いている。
1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,絵の具で覆われた小さな女の子が、ボウルに手を入れて塗られた虹の前に座っています。
1002674143_1b742ab4b8.jpg,A little girl is sitting in front of a large painted rainbow .,小さな女の子が塗られた大きな虹の前に座っています。
1002674143_1b742ab4b8.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,芝生の中の小さな女の子が、虹のついた白いキャンバスの前で指絵の具で遊んでいます。
1002674143_1b742ab4b8.jpg,There is a girl with pigtails sitting in front of a rainbow painting .,虹色の絵の前に座っているおさげ髪の少女がいます。
1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .,草の外に絵を描くおさげ髪の少女。
1003163366_44323f5815.jpg,A man lays on a bench while his dog sits by him .,犬がそばに座っている間、男はベンチに横たわっています。
1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied .,白い犬も縛られているベンチに男が横たわっています。
1003163366_44323f5815.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .,白と黒の犬が隣に座って外のベンチで寝ている男性。
1003163366_44323f5815.jpg,A shirtless man lies on a park bench with his dog .,上半身裸の男が犬のいる公園のベンチに横たわっている。
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground,地面に座っている犬のひもを持ってベンチに横たわる男
1007129816_e794419615.jpg,A man in an orange hat starring at something .,何かを見つめるオレンジ色の帽子をかぶった男。
1007129816_e794419615.jpg,A man wears an orange hat and glasses .,オレンジ色の帽子と眼鏡をかけている男性。
1007129816_e794419615.jpg,A man with gauges and glasses is wearing a Blitz hat .,ゲージと眼鏡をかけた男が電撃帽をかぶっている。
1007129816_e794419615.jpg,A man with glasses is wearing a beer can crocheted hat .,眼鏡をかけた男性がビール缶のかぎ針編みの帽子をかぶっている。
1007129816_e794419615.jpg,The man with pierced ears is wearing glasses and an orange hat .,耳にピアスをした男は眼鏡とオレンジ色の帽子をかぶっている。
1007320043_627395c3d8.jpg,A child playing on a rope net .,ロープネットで遊んでいる子供。
1007320043_627395c3d8.jpg,A little girl climbing on red roping .,赤いロープに登る少女。
1007320043_627395c3d8.jpg,A little girl in pink climbs a rope bridge at the park .,ピンク色の少女が公園のロープブリッジに登る。
1007320043_627395c3d8.jpg,A small child grips onto the red ropes at the playground .,小さな子供が遊び場で赤いロープを握ります。
1007320043_627395c3d8.jpg,The small child climbs on a red ropes on a playground .,小さな子供は遊び場で赤いロープに登ります。
1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .,白と黒の犬が白いフェンスに囲まれた芝生の庭を走っています。
1009434119_febe49276a.jpg,A black and white dog is running through the grass .,黒と白の犬が草の中を走っています。
1009434119_febe49276a.jpg,A Boston terrier is running in the grass .,草むらを走るボストンテリア。
1009434119_febe49276a.jpg,A Boston Terrier is running on lush green grass in front of a white fence .,ボストンテリアが白いフェンスの前の緑豊かな芝生の上を走っています。
1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .,犬が木のフェンスの近くの緑の芝生の上を走っています。
1012212859_01547e3f17.jpg,"A dog shakes its head near the shore , a red ball next to it .",海岸近くで犬が首を横に振っており、その横に赤いボールがあります。
1012212859_01547e3f17.jpg,A white dog shakes on the edge of a beach with an orange ball .,白い犬がオレンジ色のボールを持ってビーチの端で揺れる。
1012212859_01547e3f17.jpg,"Dog with orange ball at feet , stands on shore shaking off water",足元にオレンジ色のボールを持った犬、岸に立って水を振り落とす
1012212859_01547e3f17.jpg,White dog playing with a red ball on the shore near the water .,水辺の海岸で赤いボールで遊んでいる白い犬。
1012212859_01547e3f17.jpg,White dog with brown ears standing near water with head turned to one side .,茶色の耳を持つ白い犬は、頭を片側に向けて水の近くに立っています。
1015118661_980735411b.jpg,A boy smiles in front of a stony wall in a city .,ある都市の石垣の前で男の子が微笑む。
1015118661_980735411b.jpg,A little boy is standing on the street while a man in overalls is working on a stone wall .,小さな男の子が通りに立っていて、オーバーオールを着た男が石の壁に取り組んでいる。
1015118661_980735411b.jpg,A young boy runs aross the street .,少年が通りを走り回っている。
1015118661_980735411b.jpg,A young child is walking on a stone paved street with a metal pole and a man behind him .,幼い子供が、金属の棒と後ろに男がいる石畳の通りを歩いています。
1015118661_980735411b.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,岩壁の前に白いシャツとブルージーンズを着た笑顔の少年と、彼の後ろにオーバーオールを着た男。
1015584366_dfcec3c85a.jpg,A black dog leaps over a log .,黒い犬が丸太を飛び越える。
1015584366_dfcec3c85a.jpg,A grey dog is leaping over a fallen tree .,灰色の犬が倒れた木の上を飛び越えている。
1015584366_dfcec3c85a.jpg,A large black dog leaps a fallen log .,大きな黒い犬が倒れた丸太を飛び跳ねる。
1015584366_dfcec3c85a.jpg,A mottled black and grey dog in a blue collar jumping over a fallen tree .,落ちた木の上を飛び越える青い襟の斑点のある黒と灰色の犬。
1015584366_dfcec3c85a.jpg,The black dog jumped the tree stump .,黒い犬が木の切り株を飛び越えた。
101654506_8eb26cfb60.jpg,A brown and white dog is running through the snow .,茶色と白の犬が雪の中を走っています。
101654506_8eb26cfb60.jpg,A dog is running in the snow,犬が雪の中を走っている
101654506_8eb26cfb60.jpg,A dog running through snow .,雪の中を走る犬。
